Ref_ID,First_Author,Author_All,Journal,YearPublished,Title,Database,DateAccessed,DOI,ISBN
563,Asahina,"Asahina, Kobashi, Soeda",JAP SCI FISH,1991,Changes in plasma electrolyte and hormone concentrations during homing migration of chum salmon Oncorhynchus keta with special reference to the development of nuptial color,null,null,10.2331/suisan.57.599,null
590,Pankhurst,"Pankhurst, Kime",MAR FRESHWATER RES,1991,"Plasma sex steroid concentrations in male blue cod, Parapercis colias (Bloch and Schneider) (Pinguipedidae), sampled underwater during the spawning season",null,null,10.1071/MF9910129,null
165,Dedual,"Dedual, Pankhurst",AUST J MAR FRESH RES,1992,Plasma steroid hormone concentrations in relation to the reproductive cycle of the sweep Scorpis lineolatus (Kyphosidae) caught from the wild,null,null,null,null
609,Qunitio,"Quinitio, Goto, Takahashi",ENV BIOL FISHES,1992,A comparison of the annual changes in testicular activity and serum androgen levels between the early and delayed maturing group of male Cottus hangiongensis,null,null,10.1007/BF00002387,null
613,Hodson,"Hodson, McWhirter, Ralph, Gray, Thivierge, Carey, Kraak, Whittle",ENV TOXICOL,1992,"Effects of bleached Kraft Mill effulent on fish in the St. Maurice River, Quebec",null,null,10.1002/etc.5620111113,null
326,Ando,"Ando, Ciarcia, Panno, Imbrogno, Tarantino, Buffone, Beraldi, Angelini, Botte",GEN COMP ENDOCR,1992,Sex steroids levels in the plasma and testis during the reproductive cycle of lizard Podarcis s. sicula raf,null,null,10.1016/0016-6480(92)90165-G,null
134,Williams,Williams,GEN COMP ENDOCRINOL,1992,Reproductive endocrinology of macaroni (Eudyptes chrysolophus) and gentoo (Pygoscelis papua) penguins I. Seasonal changes in plasma levels of gonadal steroids and LH in breeding adults,null,null,10.1016/0016-6480(92)90006-6,null
9,Beletsky,"Beletsky, Orians, Wingfield",HORM BEHAV,1992,"Year-to-year patterns of circulating levels of testosterone and corticosterone in relation to breeding density, experience, and reproductive success of the polygynous red-winged blackbird",null,null,10.1016/0018-506X(92)90011-J,null
228,Alberts,"Alberts, Sapolsky, Altmann",HORM BEHAV,1992,"Behavioral, endocrine, and immunological correlates of immigration by an aggressive male into a natural primate group",null,null,10.1016/0018-506x(92)90040-3 ,null
241,Anderson,"Anderson, Bancroft, Wu",J CLIN ENDOCRINOL METAB,1992,The effects of exogenous testosterone on sexuality and mood of normal men,null,null,10.1210/jcem.75.6.1464655,null
320,Wingfield,"Wingfield, Vleck, Moore",J EXP ZOOL,1992,Seasonal changes of the adrenocortical response to stress in birds of the Sonoran desert,null,null,10.1002/jez.1402640407,null
343,Grassman,"Grassman, Hess",J EXP ZOOL,1992,Sex differences in adrenal function in the lizard Cnemidophorus sexlineatus: I. Seasonal variation in the field,null,null,10.1002/jez.1402640209,null
63,Astheimer,"Astheimer, Buttemer, Wingfield",ORNIS SCANDINAVICA,1992,"Interactions of corticosterone with feeding, activity and metabolism in passerine birds",null,null,10.2307/3676661,null
269,Dawson,"Dawson, Carey, Van't Hof",ORNIS SCANDINAVICA,1992,Metabolic aspects of shivering thermogenesis in passerines during winter,null,null,10.2307/3676664,null
500,Carnevali,"Carnevali, Mosconi, Giovanni",AMPHIBIA-REPTILIA,1993,Some aspects of the reproductive biology of Rana esculenta at sea-level and montane habitats,null,null,10.1163/156853893X00075,null
319,Wingfield,"Wingfield, Lewis",ANIM BEHAV,1993,"Hormonal and behavioural responses to stimulated territorial intrusion in the cooperatively breeding white-browed sparrow weaver, Plocepasser mahali",null,null,10.1006/anbe.1993.1001,null
589,Carragher,"Carragher, Pankhurst",AQUACULTURE,1993,"Plasma levels of sex steroids during sexual maturation of snapper, Pagrus auratus (Sparidae), caught from the wild",null,null,10.1016/0044-8486(93)90176-Y,null
142,Dufty,Dufty,AVIAN ENDOCRINOL,1993,Testosterone concentrations in males of an atypical species: the brood parasitic brown-headed cowbird,null,null,null,null
149,Vleck,Vleck,AVIAN ENDOCRINOLOGY (BOOK),1993,"Hormones, reproduction, and behavior in birds of the Sonoran Desert",null,null,null,978-1898099017
457,Guarino,"Guarino, Bellini",B ZOOL,1993,Reproductive activity and plasma androgen concentrations in the male of Rana dalmatina,null,null,10.1080/11250009309355824,null
456,Emerson,"Emerson, Rowsemitt, Hess",CAN J ZOOL,1993,"Androgen levels in a Bornean voiceless frog, Rana blythi",null,null,10.1139/z93-027,null
381,Saint Girons,"Saint Girons, Bradshaw, Bradshaw",GEN COMP ENDOCR,1993,"Sexual activity and plasma levels of sex steroids in the Aspic viper Vipera aspis L. (Reptilia, Viperidae)",null,null,10.1006/gcen.1993.1129,null
544,Pankhurst,"Pankhurst, Barnett",GEN COMP ENDOCR,1993,"Relationship of population density, territorial interaction and plasma levels of gonadal steroids in spawning male demoiselles Chromis dispilus (Pisces: Pomacentridae)",null,null,10.1006/gcen.1993.1071,null
545,Sikkel,Sikkel,GEN COMP ENDOCR,1993,Changes in plasma androgen levels associated with changes in male reproductive behavior in a brood cycling marine fish,null,null,10.1006/gcen.1993.1028,null
472,Zerani,"Zerani, Gobbetti",HORM BEHAV,1993,"Corticosterone during the annual reproductive cycle and in sexual behavior in the crested newt, Triturus carnifex",null,null,10.1006/hbeh.1993.1003,null
600,Brantley,"Brantley, Wingfield, Bass",HORM BEHAV,1993,"Sex steroid levels in Porichthys notatus, a fish with alternative reproductive tactics, and a review of the hormonal bases for male dimorphism among teleost fishes",null,null,10.1006/hbeh.1993.1025,null
117,Wingfield,"Wingfield, Hahn",ANIM BEHAV,1994,Testosterone and territorial behavior in sedentary and migratory sparrows,null,null,10.1006/anbe.1994.1009,null
567,Clearwater,"Clearwater, Pankhurst",AUST J MAR FRESH RES,1994,"Reproductive biology and endocrinology of female red gurnard, Chelidonichthys kumu (Lesson and Garnot) (Family Triglidare), from the Hauraki Gulf, New Zealand",null,null,10.1071/MF9940131,null
114,Poiani,"Poiani, Fletcher",BEHAV ECOL SOCIOBIOL,1994,Plasma levels of androgens and gonadal development of breeders and helpers in the bell miner (Manorina melanophrys),null,null,10.1007/BF00175457,null
643,Malison,"Malison, Pocarione, Barry, Kapuscinski, Kayes",FISH PHYSIOL BIOCHEM,1994,"Endocrine and gonadal changes during the annual reproductive cycle of the freshwater teleost, Stizostedion vitreum",null,null,10.1007/BF00004330,null
40,Astheimer,"Astheimer, Buttemer, Wingfield",GEN COMP ENDOCRINOL,1994,"Gender and seasonal differences in the adrenocortical response to ACTH challenge in an Arctic passerine, Zonotrichia leucophrys gambelii",null,null,10.1006/gcen.1994.1057,null
115,Cockrem,"Cockrem, Seddon",GEN COMP ENDOCRINOL,1994,"Annual cycle of sex steroids in the yellow-eyes penguin (Megadyptes antipodes) on South Island, New Zealand",null,null,10.1006/gcen.1994.1065,null
146,Fowler,"Fowler, Wingfield, Boersma, Sosa",GEN COMP ENDOCRINOL,1994,Reproductive endocrinology and weight change in relation to reproductive success in the Magellanic penguin (Spheniscus magellanicus),null,null,10.1006/gcen.1994.1087,null
156,Mauget,"Mauget, Jouventin, Lacroix, Ishii",GEN COMP ENDOCRINOL,1994,Plasma LH and steroid hormones in king penguin (Aptenodytes patagonicus) during the onset of the breeding cycle,null,null,10.1006/gcen.1994.1005,null
449,Woodley,Woodley,GEN COMP ENDOCRINOL,1994,"Plasma androgen levels, spermatogenesis and secondary sexual characteristics in two species of Plethodontid salamanders with dissociated reproductive patterns",null,null,10.1006/gcen.1994.1175,null
617,Barnett,"Barnett, Pankhurst",GEN COMP ENDOCRINOL,1994,Changes in plasma levels of gonadal steroids and gonad morphology during the spawning cycle of male and female demoiselles Chromis dispilus (Pisces: Pomacentridae),null,null,10.1006/gcen.1994.1030,null
367,Manzo,"Manzo, Zerani, Gobetti, di Fiore, Angelini",HORM BEHAV,1994,"Is corticosterone involved in the reproductive processes of the male lizard, Podarcis sicula sicula?",null,null,10.1006/hbeh.1994.1009,null
242,Bagatell,"Bagatell, Heiman, Rivier, Bremner",J CLIN ENDOCRINOL METAB,1994,Effects of endogenous testosterone and estradiol on sexual behavior in normal young men,null,null,10.1210/jcem.78.3.8126146,null
594,Pankhurst,"Pankhurst, Dedual",J FISH BIOL,1994,"Effects of capture and recovery on plasma levels of cortisol, lactate and gonadal steroids in a natural population of rainbow trout",null,null,10.1111/j.1095-8649.1994.tb01069.x,null
338,Diaz,"Diaz, Alonzo-Gomez, Delgado",J HERPETOL,1994,"Seasonal variation of gonadal development, sexual steroids, and lipid reserves in a population of the lizard Psammodromus algirus",null,null,10.2307/1564621,null
208,Garshelis,"Garshelis, Hellgren",J MAMMAL,1994,Variation in reproductive biology of male black bears,null,null,10.2307/1382249 ,null
243,Stoddart,"Stoddart, Bradley, Mallick",J ZOOL ,1994,"Plasma testosterone concentration, body weight, social dominance and scent-marking in male marsupial sugar gliders",null,null,10.1111/j.1469-7998.1994.tb04615.x ,null
153,Cherel,"Cherel, Mauget, Lacroix, Gilles",PHYSIOL ZOOL,1994,Seasonal and fasting-related changes in circulating gonadal steroids and prolactin in king penguins,null,null,http://www.jstor.org/stable/30163887,null
105,Hunt,"Hunt, Wingfield, Astheimer, Buttemer, Hahn",AMER ZOOL,1995,Temporal patterns of territorial behaviour and circulating testosterone in Lapland longspurs and other Arctic passerines,null,null,10.1093/icb/35.3.274,null
260,Fowler,"Fowler, Wingfield, Boersma",AUK,1995,Hormonal and reproductive effects of low levels of petroleum fouling in Magellanic penguins (Spheniscus magellanicus),null,null,10.2307/4088725,null
606,Hontela,"Hontela, Dumont, Duclos, Fortin",ENVIRON TOXICOL CHEM,1995,"Endocrine and metabolic dysfunction in yellow perch, Perca flavescens, exposed to organic contaminants and heavy metals in the St. Lawrence River",null,null,10.1002/etc.5620140421,null
451,Coddington,"Coddington, Cree",GEN COMP ENDOCRINOL,1995,"Effect of acute captivity stress on plasma concentrations of corticosterone and sex steroids in female whistling frogs, Litoria ewingi",null,null,10.1006/gcen.1995.1129,null
64,Astheimer,"Astheimer, Buttemer, Wingfield",HORM BEHAV,1995,Seasonal and acute changes in adrenocortical responsiveness in an Arctic-breeding bird,null,null,10.1006/hbeh.1995.1276,null
118,Logan,"Logan, Wingfield",HORM BEHAV,1995,"Hormonal correlates of breeding status, nest construction, and parental care in multiple-brooded northern mockingbirds, Mimus polyglottos",null,null,10.1006/hbeh.1995.1002,null
339,Dunlap,"Dunlap, Wingfield",J EXP ZOOL,1995,"External and internal influences on indices of physiological stress. I. Seasonal and population variation in adrenocortical secretion of free-living lizards, Sceloporus occidentalis",null,null,10.1002/jez.1402710105,null
611,Pankhurst,Pankhurst and Carragher,MAR FRESHWATER RES,1995,"Effect of exogenous hormones on reproductive behaviour in territorial males of a natural population of demioselles, Chromis dispilus (Pisces: Pomacentridae)",null,null,10.1071/MF9951201,null
