Cargo,Cargo classification,Carrier,Carrier classification,Sequences count,Publications count,Sequences,Publications
streptococcus sanguinis,Bacteria,homo sapiens,Human,1245,124,209867631;285194926;285194932;285194934;285194936;285194938;285194940;285194944;285194948;285194950;285194952;285194954;285194960;285194962;285194964;285194966;285194968;285194970;285194972;285194976;285194978;285194980;285194982;285194984;285194988;285194990;285194992;285194996;285194998;285195000;285195002;285195004;285195006;285195008;285195014;285195020;285195024;285195026;285195030;285195032;285195034;285195036;285195038;285195040;285195042;285195044;285195046;285195048;285195052;285195058;285195060;285195062;285195064;285195066;285195070;285195078;285195080;285195084;285195090;285195092;285195094;285195096;285195098;285195100;285195104;285195106;285195108;285195112;285195116;285195118;285195120;285195122;285195124;285195126;285195128;285195130;285195134;285195136;285195138;285195142;285195144;285195146;285195148;285195150;285195152;285195154;285195156;285195160;285195162;285195164;285195166;285195170;285195172;285195180;285195182;285195184;285195186;285195188;285195190;285195192,24002;26477;33542;43286;83002;107164;285080;287558;308071;404427;407159;478642;711337;785000;1057555;1057572;1168676;1374395;1403835;1448621;1700889;1742199;1772830;1843465;1896924;2087343;2141877;2229607;2387843;2656394;2662902;2841293;2902012;2970435;3010845;3082516;3105855;3139861;3455699;3476580;3477852;3525170;3782029;3857030;3861650;4637297;5267941;6120188;6347001;6347146;6390098;6408976;6409806;6449581;6452415;6500709;6690411;6792682;6874067;6937491;6949945;6953942;6987171;7012014;7076291;7216436;7446131;7478758;7517873;7560386;7739028;7868231;7926661;8107058;8338784;8521443;8589666;8606111;8635755;8831852;8850582;8934987;9069554;10332239;10531276;10539867;10658650;11199726;11240861;11292691;11816366;12648266;12899379;12918685;14506056;15055438;15271944;15450309;15828186;15886812
streptococcus sinensis,Bacteria,homo sapiens,Human,29,0,285197149;285197151;285197153;285197155;285197159;285197161;285197163;285197167;285197171;285197173;285197175;285197177;285197179;285197181;285197183;285197185;285197187;285197189;285197191;285197193;285197195;285197197;285197199;285197201;285197203;285197205;285197207;285197209;285197211,NA
streptococcus sobrinus,Bacteria,homo sapiens,Human,64,25,239950102;285197215;285197217;285197219;285197223;285197225;285197227;285197229;285197231;285197233;285197235;285197237;285197239;285197241;285197243;285197245;285197247;285197251;285197253;285197255;285197259;285197261;285197263;285197265;285197267;285197269;285197271;285197273;285197275;285197279;285197283;285197287;285197289;285197291;285197293;285197295;285197297;285197299;285197303;285197305;285197307;285197311;285197315;285197317;285197319;285197321;285197323;285197325;285197327;285197331;285197333;285197335;285197339;285197343;285197345;285197347;285197351;285197353;285197355;285197359;319748791;319748814;319748827;356893062,1945497;2079621;2080067;2212191;3980093;7478758;7499593;7808769;8521443;10467939;10510968;10777849;11327077;11556956;11816366;12147978;12887805;14506056;15271944;15366617;17314256;17653931;22145074;10867426;2206607
streptococcus suis,Bacteria,homo sapiens,Human,45,51,71608991;82395231;82395233;82395245;82395258;82395263;82395266;82395267;82395271;82395273;82395279;82395283;82395285;82395289;82395297;82395299;82395301;82395305;164653924;168997364;169135176;195549511;240951027;242351187;242351189;242351191;242351193;242351195;242351197;242351199;242351201;242351203;242351205;242351207;242351209;242351211;242351213;242351215;242351217;242351219;260161304;260161758;261362489;400532659;400532660,1400420;1616981;1879937;1979331;2652899;3531022;7499882;7817019;7914782;9145747;10483574;11825957;11854216;11876746;12161400;12374361;12583901;15784568;16145171;16182470;16201935;16507253;16554543;16639941;16707046;16792081;17243023;18258097;18439362;18459929;18460794;18461172;18753081;19016626;19230589;19538458;19543404;19661209;19944142;20044219;20227902;21204001;21398551;21572001;22275909;22055206;20210549;19603075;16321218;2249710;1432301
streptococcus uberis,Bacteria,homo sapiens,Human,0,10,NA,8293961;9297830;11278483;15351638;17584471;18621422;19233788;19653514;20706679;21944716
streptococcus vestibularis,Bacteria,homo sapiens,Human,303,1,322125014;323276553;322123594;322517588;322516137;322516990;285159337;322517519;322125237;322516821;323356424;322124685;322124384;322516898;322517628;285159314;322123603;322516569;322124407;285159328;285159351;322124782;322123849;323276570;285159297;323356427;285159305;322124310;322517760;322515979;323356418;322123637;322123981;322125644;322517273;285159320;322516426;322516955;323356421;322125701;285159311;322124619;322516855;322124957;322517768;322517754;322124994;322517737;322516672;322516025;323276556;322123889;322516303;322516918;323276564;285159334;322125034;322517310;322517740;322516320;322515905;322516938;322123600;322124479;322125051;322517299;322123626;285159294;322517748;322123657;285159331;322517050;322125326;322517731;323276567;285159348;322515968;285159308;285159340;323356415;322124393;323356407;322516775;322125567;323276568;322123747;323356410;322123632;285159315;285159323;285159329;322516315;322125184;322124806;285159346;322123741;322125069;322124631;285159306;322123787,19878555
streptomyces somaliensis,Fungi,homo sapiens,Human,488,0,408543625;408543624;408543623;408543622;408543621;408543620;408543619;408543618;408543617;408543616;408543615;408543614;408543613;408543612;408543611;408543610;408543609;408543608;408543607;408543606;408543605;408543604;408543603;408543602;408543601;408543600;408543599;408543598;408543597;408543596;408543595;408543594;408543593;408543592;408543591;408543590;408543589;408543588;408543587;408543586;408543585;408543584;408543583;408543582;408543581;408543580;408543579;408543578;408543577;408543576;384110707;384110706;384110705;384110704;384110703;384110702;384110701;384110700;384110699;384110698;384110697;384110696;384110695;384110694;384110693;384110692;384110691;384110690;384110689;384110688;384110687;384110686;384110685;384110684;384110683;384110682;384110681;384110680;384110679;384110678;384110677;384110676;384110675;384110674;384110673;384110672;384110671;384110670;384110669;384110668;384110667;384110666;384110665;384110664;384110663;384110662;384110661;384110660;384110659;384110658,NA
strongyloides fuelleborni,Helminth,homo sapiens,Human,3,3,212720565;308198830;333031611,889005;9760061;15463651
strongyloides fuelleborni,Helminth,macaca mulatta,Primate,1,0,1255037,NA
strongyloides fuelleborni,Helminth,pan troglodytes,Primate,11,1,212720566;308198832;308198834;308198836;308198838;308198840;308198842;308198857;308198858;308198860;308198861,817011
strongyloides fuelleborni,Helminth,papio cynocephalus,Primate,2,0,308198816;308198859,NA
strongyloides papillosus,Helminth,homo sapiens,Human,0,5,NA,23953590;19303216;18760537;8334456;1807035
strongyloides stercoralis,Helminth,canis lupus,Mammal,3,32,212720561;308198808;308198810,1293225;1399774;1471742;1788941;2529363;3726994;4451229;5993846;6642862;6723900;6978359;7353987;8261912;8334456;8501609;9057721;9419188;10996330;13044667;13610761;16151739;16276682;17448603;17628910;17945217;18050500;18076758;19390733;19407100;20714751;21085876;21302414
strongyloides stercoralis,Helminth,homo sapiens,Human,11,112,1145622;5002229;76560636;76560685;212720560;308198800;308198802;308198804;308198806;308198828;308198863,364674;749147;841652;1293225;1315569;1423214;1456465;1597879;1948267;2260175;2348496;2482559;2484305;3554219;3701056;3726994;3992642;4451229;6723900;7526560;7635616;7931903;7943554;7991523;8026153;8115797;8158055;8161638;8213087;8334456;8336608;8580458;8631378;8840758;9195677;9656674;9718562;10531253;10548308;10587378;11012638;11230413;11716123;11717716;11876761;11971181;12666732;12708096;12870125;12937738;13639416;14179063;14726461;15238698;15784574;15815023;15846856;16276682;16582677;16879311;16925906;16949135;17152211;17333726;17366869;17448603;17628910;17823755;18350608;18351551;18482460;18576757;18923706;19038411;19054257;19071966;19390733;19513105;19584497;19624080;19643150;19807271;19923489;21266818;21474923;21413317;21704987;21686837;21654109;19724700;19374319;19142433;18462583;18419455;17605735;16737052;15587827;15551217;14502346;11913114
strongyloides stercoralis,Helminth,pan troglodytes,Primate,4,0,212720559;308198812;308198814;308198864,NA
sudan ebolavirus,Virus,homo sapiens,Human,1,4,165940954,15288821;19386702;20181765;21752470
suid herpesvirus 1,Virus,canis lupus,Mammal,1,8,347309281,2829665;6089984;8615039;9232116;9451947;12072525;19850075;22264387
suid herpesvirus 1,Virus,homo sapiens,Human,0,101,NA,169387;196115;231360;1296242;1640116;1647359;1718089;1782426;2155270;2167928;2826296;2881053;2915378;3000617;3001339;3018284;3029974;6092320;6127933;6313219;7474089;7483252;7747481;7793065;7801601;7958466;7958994;8107249;8212550;8212855;8384744;8558363;8699169;8732864;8863772;9008338;9188641;9255739;9278146;9400605;9413539;9445042;9616127;9770434;9822692;9844723;9927571;10196354;10231761;10438802;10482562;10652175;10774223;10885615;11134295;11277703;11780256;12072525;12127314;12127315;12127317;12147025;12217344;12366764;12406511;12437518;12438620;12623062;12767993;14718632;15016549;15113909;15158594;16105939;16227258;16894189;17005637;17034871;17354650;17522199;17601636;18162245;18167162;18400859;18662343;19244335;19297610;19420087;19616388;19776237;19850075;19876391;20106921;20197221;20509957;20554783;20927329;21168443;21809182;21777931
sutterella parvirubra,Bacteria,homo sapiens,Human,189,0,378824459;381149835;381149836;381149837;381149838;381149839;381149840;381149841;381149842;381149843;381149844;381149845;381149846;381149847;381149848;381149849;381149850;381149851;381149852;381149853;381149854;381149855;381149856;381149857;381149858;381149859;381149860;381149861;381149862;381149863;381149864;381149865;381149866;381149867;381149868;381149869;381149870;381149871;381149872;381149873;381149874;381149875;381149876;381149877;381149878;381149879;381149880;381149881;381149882;381149883;381149884;381149885;381149886;381149887;381149888;381149889;381149890;381149891;381149892;381149893;381149894;381149895;381149896;381149897;381149898;381149899;381149900;381149901;381149902;381149903;381149904;381149905;381149906;381149907;381149908;381149909;381149910;381149911;381149912;381149913;381149914;381149915;381149916;381149917;381149918;381149919;381149920;381149921;381149922;381149923;381149924;381149925;381149926;381149927;381149928;381149929;381149930;381149931;381149932;381149933,NA
sutterella sanguinus,Bacteria,homo sapiens,Human,1,0,121487604,NA
sutterella stercoricanis,Bacteria,canis lupus,Mammal,2,0,53127617;219878461,NA
sutterella wadsworthensis,Bacteria,homo sapiens,Human,13,0,355430730;355430732;355430734;355430736;355430738;355430740;355430742;355430744;355430746;355430748;355430750;355430752;355430754,NA
swine vesicular disease virus,Virus,homo sapiens,Human,0,21,NA,24816564;22247381;21878192;21073902;16186229;15831949;14993651;14695669;12941886;12692248;12505635;11708597;10973703;10814575;10746582;10500285;9562889;8445723;3034503;229804;181406
taenia asiatica,Helminth,homo sapiens,Human,11,3,7242794;254072161;339790753;339790755;339790757;339790759;339790761;339790763;339790765;339790767;339790769,16438196;17166477;19290097
taenia crassiceps,Helminth,canis lupus,Mammal,9,7,158668163;158668164;158668167;158668168;158668171;158668173;158668175;371456013;371456015,2186408;8407486;10647054;12376028;18372614;19366477;19835660
taenia crassiceps,Helminth,homo sapiens,Human,0,12,NA,2390007;3613952;7648312;9660447;10874728;12943707;15162945;16000432;18644469;20585656;22206032;22027483
taenia hydatigena,Helminth,canis lupus,Mammal,36,43,7242816;20330091;63081194;156622234;156622244;156622246;156622248;156622250;156622278;156622280;156622282;156622284;237847079;237847080;237847081;237847082;237847083;237847084;238695829;238695831;238695833;238695835;238695837;238695839;238695841;238695843;238782496;238782498;238782500;238782502;238782504;238782506;312193000;312193002;312193004;312193006,8065823;11520444;14535350;15946392;16870858;19138449;21571090;281662;433385;523820;564542;705036;705038;968190;1166134;1201895;1210528;2314928;2382393;2482474;2518723;3055462;3140196;3785974;3822514;4007699;4101140;4933698;5387603;6362587;6649062;7052222;7229326;7255919;7569839;7622335;7682330;9198601;10961852;12376028;15710549;16899340;16971046
taenia hydatigena,Helminth,rangifer tarandus,Domestic,2,0,189343521;189343627,NA
taenia krabbei,Helminth,canis lupus,Mammal,1,0,325610677,NA
taenia martis,Helminth,canis lupus,Mammal,2,0,158668166;158668172,NA
taenia multiceps,Helminth,canis lupus,Mammal,25,6,209168634;209168636;209168638;209168640;209168642;209168643;209168644;209168645;209168647;209168649;209168651;209168653;209168655;209168657;209168659;209168661;209168663;209168665;237847085;238695845;238695847;238782508;239997751;242610086;254072162,5529985;10961852;16881398;16899340;19345506;22185947
taenia multiceps,Helminth,homo sapiens,Human,0,5,NA,7258483;16881398;16899340;20922482;21176715
taenia pisiformis,Helminth,canis lupus,Mammal,1,15,158668169,573080;754133;1201898;1210528;1594298;1765671;3996524;5388321;5505356;10961852;11300689;12376028;12811058;16971046;17827367
taenia polyacantha,Helminth,canis lupus,Mammal,1,0,158668170,NA
taenia saginata,Helminth,homo sapiens,Human,16,39,3402272;3402276;14575579;39837080;39837082;117580175;117580177;156622237;156622266;156622268;156622302;156622304;226237895;262233310;325149489;325149493,1516551;1822904;2133417;6372553;6721245;7251255;8762676;8834502;9610643;10571323;10618076;11223124;11605804;11812619;12055846;12387491;15275445;15460329;15882866;16438196;16806333;16870346;17166477;17265888;17351832;18371237;19247689;19290097;20585656;21425650;21130574;18501666;17674048;6622918;4434852;3611310;2085053;1576110;1576109
taenia serialis,Helminth,canis lupus,Mammal,5,1,158668174;283466453;283466491;283466718;313209067,10961852
taenia serialis,Helminth,homo sapiens,Human,2,1,89148167;89148169,7258483
taenia solium,Helminth,homo sapiens,Human,18,137,32965770;80971737;80971739;117307501;156622242;194500568;194500570;194500572;194500574;194500576;194500579;194500581;194500585;194500587;194500589;254072164;260162361;262233312,219530;413703;480076;756025;931147;1599056;1702989;2065460;2085053;2286508;2390007;2446571;2518723;2524665;2682481;2745719;3082229;3430662;3611310;3613952;6535232;6542396;7258483;7345522;7510033;7777908;7810821;7856043;7982748;8437052;8615446;9279990;9501363;9660447;9694373;9840607;9881383;10618076;10628701;10654408;10856502;10916288;10918564;10929145;11022665;11223124;11257329;11313643;11414448;11730787;11851955;11954917;12041610;12055846;12117500;12138821;12354530;12387491;12581440;12616599;12685628;12736985;12760649;12781376;12943707;15162945;15880221;15882866;15909758;16000432;16168934;16295711;16337431;16352459;16417712;16438196;16750535;16870346;16872751;16884633;16940837;17061203;17166477;17324397;17351832;17568882;17674048;18501666;18644469;19090648;19091992;19238666;19240009;19247689;19255697;19290097;19317343;19317923;19695154;19738997
taenia taeniaeformis,Helminth,canis lupus,Mammal,1,5,158668165,987625;4119941;10961852;12811058;15158554
taenia taeniaeformis,Helminth,homo sapiens,Human,0,30,NA,24126089;23719370;23715226;23664711;23064859;22516746;22397763;21247427;21208511;20340085;20031329;19255697;17120995;16438200;14710631;11799411;10961852;9705679;9292306;9656361;7615742;8006391;8297895;2141926;2599555;2488993;3540818;3996527;6631622;7340588
tai forest ebolavirus,Virus,homo sapiens,Human,2,1,208436395;302315369,19386702
talaromyces eburneus,Fungi,homo sapiens,Human,1,0,406045715,NA
talaromyces indigoticus,Fungi,homo sapiens,Human,2,0,283138037;283138038,NA
tanaisia fedtschenkoi,Helminth,anas platyrhynchos,Domestic,2,0,31711633;37545135,NA
tannerella forsythia,Bacteria,homo sapiens,Human,82,37,285180249;285180253;285180255;285180257;285180259;285180261;285180263;285180265;285180267;285180269;285180271;285180273;285180275;285180277;285180279;285180281;285180282;285180284;285180288;285180289;285180290;285180291;285180292;285180293;285180294;285180295;285180296;285180298;285180300;285180301;285180302;285180304;285180306;285180308;285180310;285180311;285180313;285180317;285180319;285180321;285180323;285180325;285180327;285180329;285180331;285180333;285180337;285180338;285180340;285180342;285180344;285180346;285180348;285180350;285180352;285180353;285180369;285180371;285180373;285180377;285180379;285180381;285180383;285180398;285180400;285180402;285180404;285180406;285180408;285180410;285180412;285180414;285180416;285180418;285180433;285180435;285180440;285180442;285180446;285180448;304569478;375253814,7936721;8961558;9826345;10325363;10412854;10530257;10776924;10899863;11144404;11327077;11519695;11874886;11985513;12149943;12694437;12716334;14977934;15206912;15546422;15853975;16304448;16842503;17322207;17397309;17397314;17488439;17653931;17967853;18302614;19053922;19184295;19702957;20038241;20337892;20373538;20930341;21916371
tatlockia micdadei,Bacteria,homo sapiens,Human,0,12,NA,2169462;2843104;2998281;6166529;6648375;7108568;7287191;9893432;11446394;11527809;15283188;19438641
tatumella ptyseos,Bacteria,homo sapiens,Human,262,0,669011699;669011676;669011666;669011652;669011367;669011330;669011318;669011268;669011088;669011076;669010841;669010728;669010643;669010451;669010426;669010328;669010054;669010016;669009747;669009669;669009381;669009283;669009261;669009141;669009076;669009056;669008970;669008777;669008434;669008400;669008329;669008260;669008195;669007855;669007801;669007484;669007451;669007348;669006980;669006869;669006821;669006713;669006642;669006499;669006481;669006372;669006250;669006143;669006000;669005922;526233037;526233036;526233035;526233034;526233033;526233032;526233031;526233030;526233029;526233028;526233027;526233026;526233025;526233024;526233023;526233087;526233086;526233085;526233084;526233083;526233082;526233081;526233080;526233079;526233078;526233077;526233076;526233075;526233074;526233073;526233072;526233071;526233070;526233069;526233068;526233067;526233066;526233065;526233064;526233063;526233062;526233061;526233060;526233059;526233058;526233057;526233056;526233055;526233054;526233053,NA
teladorsagia circumcincta,Helminth,homo sapiens,Human,1,1,592877913,20591121
teladorsagia circumcincta,Helminth,rangifer tarandus,Domestic,2,0,424950051;397701763,NA
tembusu virus,Virus,anas platyrhynchos,Domestic,3,0,358029464;367465451;386649522,NA
ternidens deminutus,Helminth,homo sapiens,Human,0,13,NA,16404847;16174419;2278080;3734399;6716541;339859;4687505;4205181;4500092;5145216;5102207;4867419;13008353
terrahaemophilus aromaticivorans,Bacteria,homo sapiens,Human,280,0,285198810;285198812;285198814;285198816;285198818;285198820;285198822;285198824;285198826;285198828;285198830;285198832;285198834;285198836;285198838;285198840;285198843;285198845;285198847;285198849;285198851;285198853;285198855;285198857;285198859;285198861;285198863;285198865;285198867;285198869;285198871;285198873;285198874;285198876;285198878;285198880;285198882;285198884;285198886;285198888;285198890;285198892;285198894;285198896;285198898;285198900;285198902;285198904;285198906;285198908;285198910;285198912;285198914;285198916;285198918;285198920;285198922;285198924;285198926;285198928;285198929;285198931;285198933;285198935;285198937;285198939;285198941;285198943;285198945;285198947;285198949;285198951;285198953;285198955;285198957;285198959;285198961;285198963;285198965;285198967;285198969;285198971;285198972;285198974;285198976;285198978;285198980;285198982;285198984;285198986;285198988;285198990;285198992;285198994;285198996;285198998;285199000;285199002;285199004;285199006,NA
tetracapsuloides bryosalmonae,Cnidaria,oncorhynchus tshawytscha,Fish,3,0,51981011;51981012;51981013,NA
tetraonchus monenteron,Helminth,esox lucius,Fish,1,0,27529003,NA
tetratrichomonas gallinarum,Protozoa,anas platyrhynchos,Domestic,10,0,37935994;37962217;37962218;37962225;37962239;37962243;37962249;37962250;37962251;37962257,NA
tetratrichomonas gallinarum,Protozoa,anser anser,Domestic,4,0,37962219;37962244;37962245;37962252,NA
theileria cervi,Protozoa,cervus elaphus,Domestic,12,0,56549729;56549730;56549731;56549732;56549734;56549735;56549738;56549739;56549740;56549741;56549745;56549746,NA
theileria cervi,Protozoa,odocoileus virginianus,Mammal,13,6,3170018;3170020;3661513;3661514;56549724;56549725;56549728;56549733;56549736;56549737;291501836;291501837;291501838,1512881;3119873;3193564;10479079;16456174;20605333
thelazia callipaeda,Helminth,canis lupus,Mammal,2,7,393716479;400201799,14580802;15267100;15552407;15817208;16084062;16842795;17673369
thelazia callipaeda,Helminth,homo sapiens,Human,1,6,298565991,2609214;12902721;12975015;14580802;16462129;22072826
thelohanellus kitauei,Cnidaria,cyprinus carpio,Fish,1,0,319655184,NA
thelohanellus nikolskii,Cnidaria,cyprinus carpio,Fish,1,0,78059528,NA
thermoascus crustaceus,Fungi,homo sapiens,Human,1,0,295809810,NA
thogoto virus,Virus,homo sapiens,Human,0,7,NA,7745744;9060610;9735310;10051598;10590150;11716541;12230469
tick-borne encephalitis virus,Virus,homo sapiens,Human,78,60,113196975;206206992;209360748;209360750;209360752;209360754;209360756;209360758;209360760;209360762;209360764;209360766;209360768;209360790;209360792;209360794;209360800;209360802;212725417;212725419;237507239;238627778;253558924;260181560;260181562;260181564;281191508;281191510;281191512;281191514;281191516;281191518;289586058;289586066;289586070;289586072;289586074;289586126;289586242;289586256;289586258;289586372;294494320;300253401;302030790;302030792;302030812;302030814;322719593;323510828;323510830;351000270;353282196;353282198;353282200;353282202;353282204;399145748;399145750;399145752;399145754;399145756;399145758;399145760;399145762;399145764;399145766;399145768;399145770;399145772;399145774;399145776;399145778;399145780;399145782;399145784;399145786;399145788,9821;56112;179268;1314286;1321397;1858359;2087135;2435064;4379476;4379477;4382993;6464426;6973240;7023055;7293574;7304271;7505284;8267950;8284924;9219644;9790126;10441554;11443938;12141758;12354885;12615309;13761883;14556277;14769933;15056045;15109431;15566853;15919235;15977642;16401850;16687530;17070730;17277902;17319165;17445320;17877457;18042258;19107965;19264624;19536444;19675189;20381639;20453126;20660147;20933016;21050126;21123372;21473069;21775458;22145351;22233771;20538092;17367298;16334744;13903978
torque teno canis virus,Virus,canis lupus,Mammal,2,0,325278540;340001914,NA
torque teno midi virus 1,Virus,homo sapiens,Human,2,0,134026382;134133206,NA
torque teno midi virus 2,Virus,homo sapiens,Human,2,0,134026387;295441891,NA
torque teno mini virus 1,Virus,homo sapiens,Human,2,0,6463717;295441908,NA
torque teno mini virus 5,Virus,homo sapiens,Human,2,0,11862901;295441877,NA
torque teno mini virus 6,Virus,homo sapiens,Human,2,0,6463698;295441901,NA
torque teno mini virus 8,Virus,homo sapiens,Human,2,0,15963478;295413915,NA
torque teno virus,Virus,pan troglodytes,Mammal,225,0,5915995;6906708;6906709;6906710;6906711;6906712;6906713;6906714;6906715;6906716;6906717;6906718;6906719;6906720;10281562;10281563;10281564;10281565;10504158;10504160;10504163;10504166;10504169;10504172;10504175;10504177;10504179;10504181;10504183;10504185;10504187;10504189;10504191;10504193;13624085;13624087;13624089;13624091;13624093;13624095;213972371;213972372;213972373;213972374;213972375;213972376;213972377;213972378;213972379;213972380;213972674;213972675;213972676;213972677;213972678;213972679;213972680;213972681;213972682;213972683;213972684;213972685;213972686;213972687;213972688;213972689;213972690;213972691;213972692;213972693;213972694;213972695;213972696;213972697;213972698;213972699;213972700;213972701;213972702;213972703;213972704;213972705;213972706;213972707;213972708;213972709;213972710;213972711;213972712;213972713;213972714;213972715;213972716;213972717;213972718;213972719;213972720;213972721;213972722;213972723,NA
torque teno virus 10,Virus,homo sapiens,Human,6,0,308944267;308944289;308944312;308944364;308944417;308944452,NA
torque teno virus 14,Virus,pan troglodytes,Primate,2,0,11596093;295413944,NA
torque teno virus 2,Virus,pan troglodytes,Primate,2,0,12060430;312192953,NA
torque teno virus 23,Virus,pan troglodytes,Primate,1,0,12060427,NA
torque teno virus 9,Virus,homo sapiens,Human,1,0,87243753,NA
toxascaris leonina,Helminth,canis lupus,Mammal,5,32,2956667;134274910;134274912;144225107;144226920,295548;721684;754133;1788941;5626084;5626353;7103181;8261912;8506598;8586870;9386794;9563164;10855829;10940533;12018192;12512563;12902720;12928886;15951642;16636846;16647819;16894724;16899340;16971046;17542962;19575219;19575222;21139871;21174956;21279384;21739375;22191174
toxascaris leonina,Helminth,homo sapiens,Human,0,7,NA,9386794;12902720;16647819;16894724;16899340;16971046;22191174
toxocara canis,Helminth,canis lupus,Mammal,20,184,596081;2956665;134274890;134274892;134274894;144226896;144226898;144226900;144226902;144226904;187942120;188011112;238055509;238055513;238055516;238055519;401782533;401782534;401782535;401782536,239550;295548;350038;458104;560313;604441;608084;640937;721684;739294;754133;860392;1019565;1025250;1125888;1290741;1293225;1558266;1609053;1873988;2227672;2303010;2309388;2353428;2382393;2438350;2609374;2659374;3203418;3375411;3458592;3529601;3777527;3799007;3826867;3833828;3980144;4050776;4059398;4134613;4677981;5005931;5063627;5091367;5374712;5443075;5567417;6342500;6357832;6360442;6365746;6497105;6517736;6534905;6542727;6649062;6673418;6703448;6725991;6747256;6928062;7039425;7062927;7103181;7180241;7201949;7212174;7253511;7272805;7329441;7430660;7435002;7550440;7682327;7706682;7782242;7886923;7980773;8012340;8187655;8211920;8261912;8506598;8586870;8643687;8686180;8709928;8762668;8826357;8851035;8919967;9225423;9300373;9347222;9386794;9403814;9563164;9627571;9629896;9652034
toxocara canis,Helminth,homo sapiens,Human,0,100,NA,350038;458104;1125888;1293225;1400990;1723345;1805214;1831617;1952699;2227672;2467777;2491292;2659374;2668490;2929192;3054540;3515176;3575291;3589105;3709753;3777527;3990707;4050776;5063627;6066953;6335760;6360442;6365746;6751420;7062927;7430660;7435002;7629180;7638966;7809006;7980773;8012340;8132974;8187655;8762668;8834760;8905319;8957808;9386794;9762293;10413704;10413956;10428632;10457701;11020398;11338980;11599787;12041704;12325335;12426460;12532212;12689646;12708589;12785174;12806928;12843809;12886422;12894685;12902720;12913561;15110409;15115078;15552028;15602901;16276682;16374472;16841687;16865980;16889018;16894724;16899340;16971046;17087964;17628910;18207641;18397497;18482460;18664926;18771749;18828485;19290095;19785612;19963075;20124608;20149289;20340083;20500505;21103889;21241625;21395413;21505583;21802208;21800450;21860903;22214330
toxocara cati,Helminth,homo sapiens,Human,0,14,NA,8297895;8762668;9386794;10413956;12689646;12902720;15910998;16647819;17768638;18482460;18664926;19696723;20568996;22214330
toxoplasma gondii,Protozoa,canis lupus,Mammal,2,97,46326997;159120014,521384;824260;933314;1822946;2039786;2773275;3083732;3132185;3391851;3518211;3522734;3750391;4738019;5531288;6631091;6887318;7005083;7253511;7298512;7496948;7629782;7739670;7770750;8039658;8241080;8250380;8261912;8297897;8447074;8691381;9011014;9024199;9715041;10496698;10608437;10669128;11423182;11474987;11512628;11682519;11913555;12076623;12512556;12719132;12736436;13522253;15303992;15463690;15507185;15513712;15525434;15760456;15870255;15893072;16031995;16113253;16197949;16212091;16255816;16729682;16967426;16973287;17135535;17221136;17266999;17323558;17403582;17547641;18432094;18576794;18925790;19055577;19084398;19221795;19232473;19246158;19556584;19622353;19772776;20020807;20060648;20071493;20130373;20340079;20429866;20434268;20500504;20570441;21094584;21244441;21281213;21352374;21483743;21506866;21739375;21718697;22217112
toxoplasma gondii,Protozoa,cervus elaphus,Domestic,0,7,NA,650778;7455352;15041091;16359801;18163361;20417034;21236577
toxoplasma gondii,Protozoa,homo sapiens,Human,22,470,88683083;88683084;91199558;91199562;91199564;154940350;154940357;154940358;154940359;158726299;262479180;294769435;296280479;328741761;328745225;328750522;345121414;349582578;349582594;349582610;401782509;401782510,21288;44946;220938;265346;379229;562527;613305;640736;809507;824260;1089746;1097510;1153906;1306048;1307004;1456737;1461675;1474655;1532008;1536384;1558274;1612737;1616962;1619292;1627507;1667364;1692415;1716289;1722946;1801345;1804749;1813779;1824212;1826707;1861915;1887478;1908831;2023058;2024964;2095993;2103865;2106497;950460;440780;158076;2107144;2116447;2133421;2153650;2169485;2220741;2279993;2284822;2342084;2368769;2391431;2447201;2477453;2574584;2581998;2693902;2846605;2919724;2935581;2972671;3009680;3129496;3141167;3194150;3209813;3350108;3518215;3536997;4037503;4050198;4954395;6174071;6291352;6313468;6365936;6464188;6500859;6650484;6742924;6811674;6833761;6863940;6994935;7000818;7000834;7020722;7026619;7068915;7298512;7480733;7485702;7494017;7494040;7527124;7544741
toxoplasma gondii,Protozoa,odocoileus virginianus,Mammal,35,0,162949738;162949739;162949740;162949741;162949742;162949743;162949744;162949745;162949748;162949753;162949754;162949755;162949756;162949757;162949758;162949759;162949762;162949770;162949772;162949774;162949776;162949778;162949780;162949782;162949784;162949790;162949800;162949802;162949804;162949806;162949808;162949810;162949812;162949814;162949820,NA
toxoplasma gondii,Protozoa,passer domesticus,Aves,7,0,239925825;239925826;239925827;239925828;239925829;239925830;239925831,NA
toxoplasma gondii,Protozoa,rangifer tarandus,Domestic,0,11,NA,650778;8885901;10813602;11318582;12446098;15041091;16419771;17950534;18163361;20688628;20966261
toxoplasma gondii,Protozoa,ursus americanus,Mammal,0,19,NA,25393429;25075540;23537944;22150391;21398469;20486739;18372620;16419771;15338705;15040668;10813602;9794654;9706572;8592377;7876963;8258862;7174445;521384;16502687
trachipleistophora hominis,Fungi,homo sapiens,Human,2,3,2644955;13274155,8897186;12192407;16230193
treponema amylovorum,Bacteria,homo sapiens,Human,3,0,285175184;285175186;285175188,NA
treponema carateum,Bacteria,homo sapiens,Human,0,5,NA,24396138;22198325;3275725;3517186;15438400
