Cargo,Cargo classification,Carrier,Carrier classification,Sequences count,Publications count,Sequences,Publications
aeromonas hydrophila,Bacteria,homo sapiens,Human,33,76,197321176;400268309;400268310;402537737;402537739;402537741;402537777;402537793;402537795;402537797;402537799;402537801;402537803;402537805;402537953;402537955;402537957;402537995;402538013;402538015;402538017;402538019;402538021;402538023;402538025;402538027;402538201;402538205;402538257;402538265;402538269;402538273;402538277,2056675;8264423;8795237;9249028;8662181;8577278;7641837;7614968;7333677;10022128;10048023;7317856;6327100;5584518;10849276;10945791;11015403;3972447;3524892;2972627;12204621;2967820;12851398;2906813;2660405;15243122;15271947;15387132;15752267;15845465;2599385;16008142;2096165;2089235;1892739;1562661;18405113;1459417;1299032;1254706;485151;18939759;372534;9660770;19698283;20148598;9700248;9709884;9750174;9864188;21635911;10454832;10719663;10765032;11414446;11430412;12022255;12668143;12867570;12927714;15875648;16212035;16349264;16478632;18298535;18418529;18476052;18642327;18806339;19270100;19413760;20154386;20888150;21533905;21624472;21917902
aeromonas jandaei,Bacteria,cyprinus carpio,Fish,1,0,345846704,NA
aeromonas salmonicida,Bacteria,homo sapiens,Human,4,0,402537827;402537865;402538061;402538101,NA
aeromonas sobria,Bacteria,cyprinus carpio,Fish,2,0,401802289;401802291,NA
aeromonas sobria,Bacteria,homo sapiens,Human,1,11,148751472,2089235;8264423;14606725;21635911;3723584;19335814;18714034;17142774;15621437;10469397;9090982
aeromonas tecta,Bacteria,homo sapiens,Human,1,0,392872491,NA
aeromonas veronii,Bacteria,anas platyrhynchos,Domestic,2,0,255648461;255648495,NA
aeromonas veronii,Bacteria,cyprinus carpio,Fish,24,0,151413615;304347698;327202240;327202241;327202242;327202264;401802243;401802247;401802255;401802259;401802379;401802393;401802395;401802403;401802499;401802501;401802503;401802543;401802545;401802547;401802549;401802561;401802563;401802575,NA
aeromonas veronii,Bacteria,homo sapiens,Human,3,10,291360407;392872489;400268313,9864188;11823203;8557078;10849279;17109273;10496928;10974579;7883912;7565173;2037674
african swine fever virus,Virus,phacochoerus aethiopicus,Mammal,2,0,21321351;21321361,NA
agarivorans albus,Bacteria,haliotis rufescens,Mollusca,1,0,308387592,NA
