"","ename","bcomp","genus","family","common","inames","log_base_cort","log_fledging_age_d","log_longevity","mig_disp","breed_lat","log_elevation_upper","swos","log_area","log_birth_or_hatching_weight_g","log_fmass","log_emass","incubation_d","winter_lat","log_ed_fair","s_mdist","pop_decreasing","litter_or_clutch_size_n","log_femalemat","ptaxa1","log_mass","litters_or_clutches_per_y","Diet.Seed","ForStrat.ground","passerine","ForStrat.midhigh","family_Turdidae","Diet.Inv","ForStrat.understory","Diet.Nect","diet_diversity","family_Fringillidae","family_Parulidae","ForStrat.canopy","Diet.PlantO","log_stress_cort","Diet.Fruit","pop_increasing","log_malemat","marine_system","pop_stable","freshwater_system","family_Emberizidae","foraging_diversity","mig_fullmigrant","mig_partialmigrant","Diet.Vect","family_Sylviidae","Diet.Vend","family_Paridae","mig_resident","family_Muscicapidae","IUCN_LC","Diet.Scav","unique_name"
"3295","Piculus aurulentus",NA,"Piculus","Picidae","Yellow-browed Woodpecker","Piculus aurulentus",NA,NA,NA,0,-25.72745768,3.30102999566398,1,5.87439029492817,NA,NA,NA,NA,-25.72745768,-2.39659944421071,0,"1",NA,NA,"0",1.8750612633917,NA,NA,NA,"0",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",NA,"0","0","0","0",NA,"0","0",NA,"0",NA,"0","1","0","0",NA,"Piculus aurulentus"
"3296","Piculus callopterus",NA,"Piculus","Picidae","Stripe-cheeked Woodpecker","Piculus callopterus",NA,NA,NA,0,8.84913166,2.95424250943932,0,3.74415360890365,NA,NA,NA,NA,8.84913166,-2.41364476718498,0,"0",NA,NA,"0",1.83884909073726,NA,NA,NA,"0",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",NA,"0","1","0","0",NA,"0","0",NA,"0",NA,"0","1","0","1",NA,"Piculus callopterus"
"3297","Piculus chrysochloros",NA,"Piculus","Picidae","Golden-green Woodpecker","Piculus chrysochloros",NA,NA,NA,0,-6.59859124,2.81291335664286,1,6.93567107068537,NA,NA,NA,NA,-6.59859124,-2.34061182648703,0,"0",NA,NA,"0",1.95182303531591,NA,NA,NA,"0",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",NA,"0","1","1","0",NA,"0","0",NA,"0",NA,"0","1","0","1",NA,"Piculus chrysochloros"
"3298","Piculus flavigula",NA,"Piculus","Picidae","Yellow-throated Woodpecker","Piculus flavigula",NA,NA,NA,0,-4.77880452,2.84509804001426,1,6.81051078966185,NA,NA,0.863322860120456,NA,-4.77880452,-2.42688266951621,0,"1",3.5,NA,"0",1.77815125038364,NA,NA,NA,"0",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",NA,"0","0","0","0",NA,"0","0",NA,"0",NA,"0","1","0","1",NA,"Piculus flavigula"
"3299","Piculus leucolaemus",NA,"Piculus","Picidae","White-throated Woodpecker","Piculus leucolaemus",NA,NA,NA,0,-8.95228335,3.14612803567824,0,5.94711118475944,NA,NA,NA,NA,-8.95228335,-2.42688266951621,0,"1",NA,NA,"0",1.83884909073726,NA,NA,NA,"0",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",NA,"0","0","0","0",NA,"0","0",NA,"0",NA,"0","1","0","1",NA,"Piculus leucolaemus"
"3300","Piculus litae",NA,"Piculus","Picidae","Lita Woodpecker","Piculus litae",NA,NA,NA,0,4.66935516,2.90308998699194,0,5.02822994593034,NA,NA,NA,NA,4.66935516,-2.35937828329099,0,"1",NA,NA,"0",1.83884909073726,NA,NA,NA,"0",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",NA,"0","0","0","0",NA,"0","0",NA,"0",NA,"0","1","0","1",NA,"Piculus litae"
"3301","Piculus simplex",NA,"Piculus","Picidae","Rufous-winged Woodpecker","Piculus simplex",NA,NA,NA,0,12.77112847,2.95424250943932,0,4.96656069167723,NA,NA,NA,NA,12.77112847,-2.37819062020414,0,"1",3,NA,"0",1.74036268949424,NA,NA,NA,"0",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",NA,"0","0","0","0",NA,"0","0",NA,"0",NA,"0","1","0","1",NA,"Piculus simplex"
"3302","Picumnus albosquamatus",NA,"Picumnus","Picidae","White-wedged Piculet","Picumnus albosquamatus",NA,NA,NA,0,-16.96641428,3.32221929473392,1,6.30260795568299,NA,NA,NA,NA,-16.96641428,-2.33558931684266,0,"1",NA,NA,"0",1.07554696139253,NA,0,0,"0",30,"0",100,40,0,1,"0","0",30,0,NA,0,"0",NA,"0","0","0","0",3,"0","0",0,"0",0,"0","1","0","1",0,"Picumnus albosquamatus"
"3303","Picumnus aurifrons",NA,"Picumnus","Picidae","Bar-breasted Piculet","Picumnus aurifrons",NA,NA,NA,0,-8.52610213,3.04139268515822,0,6.47556463342134,NA,NA,NA,NA,-8.52610213,-2.34424426866648,0,"1",NA,NA,"0",0.968482948553935,NA,NA,NA,"0",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",NA,"0","0","0","0",NA,"0","0",NA,"0",NA,"0","1","0","1",NA,"Picumnus aurifrons"
"3304","Picumnus castelnau",NA,"Picumnus","Picidae","Plain-breasted Piculet","Picumnus castelnau",NA,NA,NA,0,-5.98433819,2.97772360528885,0,4.76117442416858,NA,NA,NA,NA,-5.98433819,-2.3276734394395,0,"1",NA,NA,"0",1.06818586174616,NA,0,0,"0",33,"0",100,33,0,1,"0","0",33,0,NA,0,"0",NA,"0","0","0","0",3,"0","0",0,"0",0,"0","1","0","1",0,"Picumnus castelnau"
"3305","Picumnus cinnamomeus",NA,"Picumnus","Picidae","Chestnut Piculet","Picumnus cinnamomeus",NA,NA,NA,0,9.94954605,2.47712125471966,0,5.11703320645815,NA,NA,NA,NA,9.94954605,-2.17657652216698,0,"0",NA,NA,"0",NA,NA,0,0,"0",33,"0",100,33,0,1,"0","0",33,0,NA,0,"0",NA,"0","0","0","0",3,"0","0",0,"0",0,"0","1","0","1",0,"Picumnus cinnamomeus"
"3306","Picumnus cirratus",NA,"Picumnus","Picidae","White-barred Piculet","Picumnus cirratus",NA,NA,NA,0,-20.58249613,3.34242268082221,1.4142135623731,6.37078328077433,NA,NA,0.0606978403536116,NA,-20.58249613,-2.31905938058456,0,"1",2.4,NA,"0",1.01283722470517,NA,0,0,"0",50,"0",100,50,0,1,"0","0",0,0,NA,0,"0",NA,"0","0","0","0",2,"0","0",0,"0",0,"0","1","0","1",0,"Picumnus cirratus"
